code,name,native_speakers,country,region,gl,anglicized_name
auy-x-tontona,Tontona,,Papua New Guinea,Pacific,tpi,Tontona
omw-x-dosara,Dosara,,Papua New Guinea,Pacific,tpi,Dosara
omw-x-waisaram,Waisaram,,Papua New Guinea,Pacific,tpi,Waisaram
ajg-x-adjtalagbe,Adja Talagbe,,Togo,Pacific,fr,Adja Talagbe
mek-x-inafangan,Inanfangan,,Papua New Guinea,Pacific,tpi,Inanfangan
omw-x-kusingakua,Kusinga Kua,,Papua New Guinea,Pacific,tpi,Kusinga Kua
mxn-x-moiklasa,Moi Klasa,,Indonesia,Pacific,id,Moi Klasa
mxn-x-moisigin,Moi Sigin,,Indonesia,Pacific,id,Moi Sigin
nst-x-nanel,Nanel,,Myanmar,Asia,my,Nanel
tum-x-yombe,Tumbuka Yombe,,Zambia,Africa,en,Tumbuka Yombe
mry-x-mandcaraga,Mandaya Caraga,,Philippines,Pacific,ceb,Mandaya Caraga
msm-x-wawaanon,Manobo Wawaanon,,Philippines,Pacific,ceb,Manobo Wawaanon
bjx-x-curaju,Curaju,,Philippines,Pacific,ilo,Curaju
kkg-x-kaluwan,Kal-Uwan,,Philippines,Pacific,ilo,Kal-Uwan
mhy-x-halong,Dayak Halong,,Indonesia,Pacific,id,Dayak Halong
mhy-x-samihim,Samihim,,Indonesia,Pacific,id,Samihim
bkr-x-pajuepat,Paju Epat,,Indonesia,Pacific,id,Paju Epat
xdy-x-balai,Balai,,Indonesia,Pacific,id,Balai
bjn-x-pulautelo,Dayak Pulau Telo,,Indonesia,Pacific,id,Dayak Pulau Telo
mey-MA-hassaniya,Hassaniya (Morocco),220000,Morocco,Africa,ar,Hassaniya (Morocco)
mey-MR-hassaniya,Hassaniya (Mauritania),2800000,Mauritania,Africa,ar,Hassaniya (Mauritania)
bjn-x-seidusun,Dayak Sei Dusun,,Indonesia,Pacific,id,Dayak Sei Dusun
nij-x-baream,Dayak Baream,,Indonesia,Pacific,id,Dayak Baream
bkr-x-kalahien,Dusun Kalahien,,Indonesia,Pacific,id,Dusun Kalahien
sks-x-yakiba,Yakiba,,Papua New Guinea,Pacific,tpi,Yakiba
tnh-x-gugubar,Gugubar,,Papua New Guinea,Pacific,tpi,Gugubar
bpu-x-boimbi,Boimbi,,Papua New Guinea,Pacific,tpi,Boimbi
sks-x-suaro,Suaro,,Papua New Guinea,Pacific,tpi,Suaro
zmb-x-kwange,Kwange,,Democratic Republic of the Congo,Africa,fr,Kwange
zmb-x-mamba,Mamba,,Democratic Republic of the Congo,Africa,fr,Mamba
hak-ID-kalimanhak,Kalimantan Hakka Chinese,,Indonesia,Pacific,zh,Kalimantan Hakka Chinese
mxn-x-salkma,Moi Salkma,,Indonesia,Pacific,id,Moi Salkma
nij-x-manyan,Manyan,,Indonesia,Pacific,id,Manyan
mhy-x-pajusapulu,Paju Sapuluh,,Indonesia,Pacific,id,Paju Sapuluh
kkx-x-pembuang,Pembuang,,Indonesia,Pacific,id,Pembuang
